,clean
0,actually little disease magazine news show natural think
2,know sure like talk touch lesson plan teach
3,life worth live
4,poll open end recess case decide thought final statement martin
7,victory party slide
8,mr bergstrom mr bergstrom
9,hey hey move morning new job take copernicus costume
11,think take train capital city
12,train like traditional environmentally sound
13,yes backbone country leland stanford drive golden spike promontory point
15,hey thank vote man
16,vote voting geek
17,get right thank vote girl
19,sweat long couple people right milhouse
27,martin martin like recount
29,want sure martin martin
30,way mister president
31,board track afternoon delight come shelbyville parkville
32,mr bergstrom hey mr bergstrom
36,oh mean go leave like
37,ah sorry lisa know life substitute teacher fraud today wear gym short tomorrow speak french pretend know run band see god know
39,ah true teacher come
41,lie good know need project capital city
43,problem middle class anybody care abandon need
44,understand mr bergstrom go miss
46,feel like rely need know
47,thank mr bergstrom
49,guess mind run alongside train speed life
50,goodbye lisa honey okay read note
51,throw party big bash champagne musician holy man
52,bart vote oh bad thing happen alright allright spill milk spill milk spill milk mopey
54,lisa tell father
55,mr bergstrom leave today
60,hey care mean understand
61,glad cry hate think base emotion sir baboon
63,yes baboon baboon baboon baboon
64,think realize say
66,whoa somebody bind day believe
67,hear marge call baboon stupid ugly smelliest ape
68,homer allow hurt feeling right little girl upstairs need confidence father shake little girl happy faith daddy
70,lisa hold tell cry call daddy baboon
74,look want forgive
76,maybe help lose special hurt lucky lose special special roof
79,child time bed
80,true lot special people life lisa probably place food real good guy like serve drink oh maybe explain fix doll house good monkey work know monkey know mean
82,hold nail place tail
87,sorry call baboon dad
89,hey matter son
90,ah dad milhouse lewis vote
91,hey son get money class president
95,martin guy go neat like throw ball world series huh
97,let baby bottle huh motto
98,hey thank monkey man
99,holy moly talk parent
101,sleep maggie ah
103,marge let bed big roll life
104,mmm hor doover
106,promise eat lie
107,homer throw party go to pay friend invite home
108,mom want hear witty banter sophisticated adult
109,yeah fun bed
110,oh son old know well
111,hmmm oh baby mmmm yeah
115,gag ice cub
116,homer homer record
119,hey anybody mind serve bartender know ph d mixology
121,hey homer care try flander planter punch
123,hey flander time little alcohol
124,au contraire simpson shot rum jigger bourbon little dab roo creme de cassis flavor
125,warm sense ssslurre shpeech right
126,homer easy al ky hol remember year winfield party throw laundry hamper
128,hi homer sister law right remember remember beau tiful
129,ow hey jeez
130,new kind mace painful
131,oh dr hibbert enjoy party
132,uh slip novelty ice cube fake fly drink
134,homer novelty ice cube highly toxic chemical ironically real fly sanitary
136,look face priceless
139,little monkey little monkey
141,bart thing cute
146,hey everybody look funniest guy world
147,oh homer king
148,wantin ' tell year nerve
149,homer know wife wife friend meet hour ago
150,stink lousy operation stink quit
151,uh gee homer quit
153,handful peanut maude
156,hey thank invitin ' wonderful time
158,want live night suggest roll
159,hmmm thank dr hibbert thank come
167,want sure kid hear young hate know parent fight
169,music send chill spine
170,homer remember way act party night
172,say wet clothe dry martini
173,good lord fly drink
176,slip glass gag
179,pronounce whimsical jape season
180,homer like think patient tolerant woman line cross stop love night cross line throw
181,sorry honey forget church
182,go church today go stay explain bart scar life
183,oh mean inside
184,night notice daddy act little strange probably understand
186,admit know sorry happen hope lose lot respect
189,sneak preview week sermon announcement new pamphlet available church newsrack include bible baffler satan boner good grief satan boner teen cool fry hell
191,sorry lord compete squeaking homer simpson shoe hold take seat
194,mrs lovejoy hold annual marriage retreat weekend catfish lake psychological counseling couple marriage hang thread
195,  need tune
197,wish participate sign way service
198,simpson attend little retreat
199,oh tempting wonderful idea
202,marriage encounter weekend come
204,hold catfish lake catfish lake catfish
205,go retreat marriage tune fishing
207,hello mrs simpson
210,oh suppose sitter short notice
211,oh dear find babysitter kick tooth
212,need babysitter half
214,tone young lady taste hand
220,wonder think babysit kid weekend ask desperate
221,oh sure resort old grampa feeb guy count dagnabit agin
222,marge puttin ' thing trunk
223,maggie run fever number stick finger electrical socket number drink pine cleanser
225,right right goodbye child behave
226,number grampa fall bathtub
228,grampa mom hurry forget list thing lisa
229,uh huh uh huh allow smoke cigar
231,whoa well gas
232,fill ' er guess stretch leg
235,oh general sherman ya
236,wait wait minute wait minute general sherman
237,big catfish part
239,  weigh upwards pound
243,know picture general exactly freakishly big
244,hmmmm gentleman go catch general sherman
245,supermarket video store grab krusty burger head arcade
246,bart grampa kindly old man trust sure right advantage
247,lis crazy topsy turvy time right wrong right gut tell bleed gramp dry
248,ah mr mrs simpson welcome
249,hello reverend glad come oh hello helen
250,hel lo marge
251,homer simpson marriage little spit shine
253,uh uh reverend go to chance fishing
